steepness,alpha,beta,M,M12,Model,CPUE,Total.likelihood,Total.LF,Total.CPUE,Age.length,BH.Steep,CPUE.LL.WCPO,CPUE.Troll,CPUE.LL.EPO,LF.NZ.troll.Samp.14.16,LF.NZ.troll,Maximum.gradient,negvals,Steepness,Frecent.Fmsy,CV.fmsy,SB.SBmsy,SD.SBmsy,Sbrecent.SBF0,SD.depletion,trimodality,bimodality
0.932091763,17.3990625,3.3759375,0.408092288,0.378795973,56,north.WCPO,-41721.95215,-42541.72796,-177.6069852,984.4508232,7.859407826,-84.60748912,-17.23362667,-75.76586944,-132.8590254,-4758.549481,9.81E-07,0,0.932091763,0.066269052,0.083780033,5.223,0.5145597,0.562565898,0.046576621,0.112,0.51
0.712792515,17.3990625,3.3759375,0.275681615,0.255890857,57,north.WCPO,-41814.7417,-42453.12878,-165.6652966,786.8301148,10.41549656,-85.25713053,-7.369897476,-73.03826859,-130.9127976,-4711.96698,1.13E-06,0,0.712792515,0.771604938,0.058941664,1.584,0.12188532,0.334898091,0.048261,0.147,0.399
0.838521271,17.3990625,3.3759375,0.394979836,0.366624843,58,north.WCPO,-41833.70948,-42461.36821,-173.9745533,786.1108487,8.96779958,-86.25868838,-12.4675608,-75.24830414,-130.7896303,-4709.988729,9.69E-07,0,0.838521271,0.174672489,0.078212355,2.933,0.26912593,0.506313113,0.047157206,0.161,0.364
0.912177909,17.3990625,3.3759375,0.327319678,0.303821904,59,north.WCPO,-41824.35973,-42457.22843,-169.91142,786.4026176,9.695587337,-85.9084243,-9.950309541,-74.0526862,-130.8664704,-4711.31226,5.46E-06,0,0.912177909,0.222123501,0.067156396,2.871,0.24543748,0.431344588,0.050100305,0.154,0.371
0.892698732,17.3990625,3.3759375,0.450516756,0.418174854,60,north.WCPO,-41724.39082,-42542.33148,-179.3494963,984.8103082,7.530096536,-84.61970171,-18.31029432,-76.41950023,-132.8429222,-4757.801553,1.15E-06,0,0.892698732,0.059808612,0.090747289,4.784,0.49271013,0.605193523,0.044817958,0.147,0.483
0.914465557,17.3990625,3.3759375,0.402080536,0.373215795,61,north.WCPO,-41721.515,-42541.60591,-177.325047,984.4133333,7.91141197,-84.59502114,-17.05918764,-75.67083821,-132.861228,-4758.648134,2.71E-06,0,0.914465557,0.080064051,0.08278258,4.553,0.4454995,0.554711567,0.046594154,0.112,0.503
0.887283266,17.3990625,3.3759375,0.261590992,0.242811779,62,north.WCPO,-41811.56357,-42451.50039,-164.71064,787.2918415,10.56033898,-85.07982861,-6.95070073,-72.68011066,-131.0142369,-4712.836664,4.59E-06,0,0.887283266,0.459558824,0.05708884,2.08,0.15770996,0.343643327,0.050190087,0.119,0.406
0.890002145,17.3990625,3.3759375,0.402594227,0.37369261,63,north.WCPO,-41721.55648,-42541.6159,-177.3541577,984.4160049,7.90767623,-84.59224445,-17.07327913,-75.68863408,-132.8610186,-4758.636773,1.37E-06,0,0.890002145,0.093023256,0.082857646,4.047,0.39612872,0.553613217,0.046314885,0.112,0.503
0.717351337,17.3990625,3.3759375,0.438046225,0.406599563,64,north.WCPO,-41716.71377,-42555.15231,-178.9348865,1005.121708,7.588668397,-83.64792409,-19.04073912,-76.2462233,-133.2070296,-4767.211701,9.46E-07,0,0.717351337,0.13368984,0.093011179,2.855,0.29927433,0.586048927,0.042144465,0.294,0.427
0.760513907,17.3990625,3.3759375,0.322584906,0.299427034,65,north.WCPO,-41819.19774,-42462.25628,-170.1234447,796.8695909,9.61481539,-85.29646486,-10.6319129,-74.19506696,-130.5067187,-4705.033614,1.56E-06,0,0.760513907,0.402252615,0.067687211,2.101,0.17639874,0.429926507,0.047401551,0.084,0.35
